method,seed,epoch,train_loss,train_acc,test_acc,feedback_alignment
bp,0,1,1.0453850030899048,0.7316,0.7485,
bp,0,2,0.6634953618049622,0.841,0.86,
bp,0,3,0.5495380163192749,0.857,0.879,
bp,0,4,0.4667815566062927,0.8834,0.9005,
bp,0,5,0.4240732789039612,0.8852,0.906,
bp,0,6,0.39135152101516724,0.8978,0.911,
bp,0,7,0.36323633790016174,0.906,0.917,
bp,0,8,0.3794240951538086,0.8952,0.904,
bp,0,9,0.35679706931114197,0.907,0.9135,
bp,0,10,0.3571782112121582,0.8958,0.898,
bp,0,11,0.3165104389190674,0.9134,0.919,
bp,0,12,0.30380159616470337,0.918,0.921,
dfa_3factor,0,1,1.0554895401000977,0.6108,0.626,0.14206209503646539
dfa_3factor,0,2,0.6099551916122437,0.8254,0.842,0.3192679337173739
dfa_3factor,0,3,0.5348220467567444,0.8398,0.8455,0.41664647780035896
dfa_3factor,0,4,0.5603331327438354,0.8058,0.811,0.4694953030032832
dfa_3factor,0,5,0.4102695882320404,0.8926,0.898,0.506236395517732
dfa_3factor,0,6,0.4477601945400238,0.8618,0.868,0.5308417778268325
dfa_3factor,0,7,0.3718535602092743,0.894,0.9005,0.550668179237193
dfa_3factor,0,8,0.34097054600715637,0.9028,0.9115,0.5614186595361871
dfa_3factor,0,9,0.3624451756477356,0.895,0.8935,0.5786319147658144
dfa_3factor,0,10,0.314151793718338,0.9102,0.9135,0.5903969124007664
dfa_3factor,0,11,0.32497310638427734,0.9056,0.9065,0.598397024452046
dfa_3factor,0,12,0.30317991971969604,0.9136,0.915,0.6071267370038034
zo_spsa,0,1,2.4434890747070312,0.0872,0.08,
zo_spsa,0,2,2.3793399333953857,0.094,0.091,
zo_spsa,0,3,2.3517673015594482,0.1016,0.096,
zo_spsa,0,4,2.320674419403076,0.1184,0.112,
zo_spsa,0,5,2.2970426082611084,0.1284,0.124,
zo_spsa,0,6,2.2736144065856934,0.1342,0.125,
zo_spsa,0,7,2.250178575515747,0.1448,0.1315,
zo_spsa,0,8,2.231417417526245,0.1764,0.1645,
stdp,0,1,,0.3014,0.3025,
bp,1,1,1.060282826423645,0.7814,0.7745,
bp,1,2,0.655522346496582,0.847,0.8425,
bp,1,3,0.5388227701187134,0.8484,0.846,
bp,1,4,0.49331024289131165,0.8532,0.8385,
bp,1,5,0.39784541726112366,0.8936,0.89,
bp,1,6,0.36787059903144836,0.8982,0.8995,
bp,1,7,0.36740341782569885,0.8936,0.892,
bp,1,8,0.3259221017360687,0.907,0.906,
bp,1,9,0.3155314326286316,0.9124,0.9055,
bp,1,10,0.30862507224082947,0.9152,0.9075,
bp,1,11,0.29286229610443115,0.9182,0.906,
bp,1,12,0.28325510025024414,0.9208,0.9075,
dfa_3factor,1,1,1.0134698152542114,0.7396,0.729,0.09260697912783555
dfa_3factor,1,2,0.600546658039093,0.8354,0.843,0.29015380939972885
dfa_3factor,1,3,0.5006698369979858,0.8652,0.8565,0.3833226352635821
dfa_3factor,1,4,0.46700146794319153,0.8674,0.861,0.4354229846856982
dfa_3factor,1,5,0.4041059911251068,0.8812,0.8815,0.47048505742185975
dfa_3factor,1,6,0.45633310079574585,0.851,0.851,0.49427127167353063
dfa_3factor,1,7,0.39561665058135986,0.8818,0.8775,0.5123132144587166
dfa_3factor,1,8,0.32398363947868347,0.9044,0.898,0.526940578185302
dfa_3factor,1,9,0.30843421816825867,0.911,0.9055,0.5397074440918906
dfa_3factor,1,10,0.3514390289783478,0.8946,0.882,0.5531823894537228
dfa_3factor,1,11,0.30255332589149475,0.9126,0.898,0.5638141260100773
dfa_3factor,1,12,0.2857078015804291,0.9176,0.902,0.5701395847795593
zo_spsa,1,1,2.3446567058563232,0.1232,0.114,
zo_spsa,1,2,2.3236899375915527,0.1376,0.134,
zo_spsa,1,3,2.308716297149658,0.147,0.1425,
zo_spsa,1,4,2.295747995376587,0.1596,0.1515,
zo_spsa,1,5,2.288602352142334,0.1596,0.1545,
zo_spsa,1,6,2.266819953918457,0.1806,0.173,
zo_spsa,1,7,2.260392665863037,0.1812,0.1745,
zo_spsa,1,8,2.2521114349365234,0.184,0.179,
stdp,1,1,,0.3024,0.3105,
bp,2,1,1.0040696859359741,0.7902,0.789,
bp,2,2,0.6697579026222229,0.8418,0.8435,
bp,2,3,0.5315606594085693,0.8682,0.873,
bp,2,4,0.4671379029750824,0.875,0.8765,
bp,2,5,0.4412378966808319,0.8792,0.8755,
bp,2,6,0.4054872989654541,0.8898,0.8895,
bp,2,7,0.39300376176834106,0.8916,0.8895,
bp,2,8,0.3601839244365692,0.9006,0.9015,
bp,2,9,0.3479965627193451,0.9044,0.904,
bp,2,10,0.3345600664615631,0.9066,0.9085,
bp,2,11,0.3369952142238617,0.9052,0.901,
bp,2,12,0.317470908164978,0.9164,0.91,
dfa_3factor,2,1,1.0532677173614502,0.73,0.726,0.07384240411457758
dfa_3factor,2,2,0.6325501203536987,0.8304,0.8415,0.27765663577926375
dfa_3factor,2,3,0.5856046676635742,0.8198,0.832,0.37694813921575077
dfa_3factor,2,4,0.5133146643638611,0.8558,0.8615,0.4343254259677766
dfa_3factor,2,5,0.43870604038238525,0.8758,0.88,0.468358243765186
dfa_3factor,2,6,0.47183260321617126,0.8518,0.8505,0.49573179079877966
dfa_3factor,2,7,0.37382885813713074,0.8934,0.894,0.5139067565390855
dfa_3factor,2,8,0.43977323174476624,0.8572,0.8545,0.5337598569388492
dfa_3factor,2,9,0.34803131222724915,0.902,0.905,0.5467572358929408
dfa_3factor,2,10,0.3631753921508789,0.895,0.899,0.5598688027102967
dfa_3factor,2,11,0.33593565225601196,0.906,0.897,0.5711429106770533
dfa_3factor,2,12,0.34865710139274597,0.897,0.8955,0.5814929152701092
zo_spsa,2,1,2.317551851272583,0.125,0.1205,
zo_spsa,2,2,2.304892063140869,0.1234,0.125,
zo_spsa,2,3,2.290436029434204,0.1256,0.1225,
zo_spsa,2,4,2.2675585746765137,0.1348,0.1345,
zo_spsa,2,5,2.25228214263916,0.145,0.143,
zo_spsa,2,6,2.244981050491333,0.1544,0.144,
zo_spsa,2,7,2.2344510555267334,0.1622,0.157,
zo_spsa,2,8,2.2229340076446533,0.1678,0.163,
stdp,2,1,,0.2526,0.2465,
